"MAPPING_ID","CURRENT_SPECIES_CODE","NEW_SPECIES_CODE","BRITISH_ISLES","MATCH_TYPE"
1,45,51873,"Y","I"
2,52837,98,"N",""
3,53924,53925,"N","I"
5,74576,74577,"N","X"
6,83417,436,"N","I"
7,83482,98,"N",""
8,83494,53024,"N","X"
9,83498,150,"N","X"
10,83502,53515,"N","I"
11,83513,155,"Y","X"
12,83515,54025,"N","I"
13,83536,54897,"N","X"
14,83579,84400,"N","I"
15,83596,57713,"N","I"
16,83609,58356,"N","X"
17,83627,60708,"N","I"
18,83634,60881,"N","X"
19,83647,61858,"N","I"
20,83730,68232,"N","I"
21,83739,68988,"N","I"
22,83757,69775,"N","I"
23,83759,69886,"N","X"
24,83779,321,"N","I"
25,83780,71869,"N","I"
26,83809,1056,"N","I"
27,83809,71445,"N","I"
28,83824,71783,"N","I"
29,83877,75231,"N","I"
30,83882,75811,"N","I"
31,83887,76157,"N","I"
32,83896,371,"N","I"
33,83914,429,"Y","X"
34,83947,79667,"N","X"
35,51873,45,"N","I"
36,56171,1582,"N","I"
37,69886,69894,"Y","I"
38,74576,74579,"N","I"
39,83473,52121,"Y","X"
40,83492,52961,"N","X"
41,83502,136,"N","X"
42,83506,53685,"N","I"
43,83506,84356,"N","I"
44,83523,54407,"N","I"
45,83525,248,"N","X"
46,83536,54904,"N","I"
47,83575,56821,"N","X"
48,83587,57350,"N","I"
49,83597,57730,"N","X"
50,83602,58093,"N","X"
51,83649,61909,"N","X"
52,83661,64495,"N","I"
53,83681,62293,"N","I"
54,83722,67513,"N","X"
55,83736,68638,"N","I"
56,83748,69205,"N","X"
57,83757,69766,"N","X"
58,83761,450,"N","X"
59,83795,72956,"N","X"
60,83883,75916,"N","X"
61,83895,76650,"N","X"
62,83934,78734,"N","X"
63,83941,79287,"N","I"
64,447,84580,"N","I"
65,450,69969,"N","I"
66,1274,68616,"N","I"
67,83465,51728,"N","X"
68,83472,34,"N","X"
69,83487,52657,"N","X"
70,83515,163,"N","X"
71,83573,57028,"N","I"
72,83624,305,"N","I"
73,83625,60359,"N","I"
74,83627,60703,"N","X"
75,83630,60756,"N","I"
76,83661,64501,"N","X"
77,83716,67472,"N","X"
78,83749,69274,"N","X"
79,83766,70076,"N","X"
80,83775,437,"N","X"
81,83775,70711,"N","I"
82,83782,72054,"N","I"
83,83808,71385,"N","X"
84,83824,71772,"N","X"
85,83844,72446,"N","I"
86,83849,406,"N","X"
87,83859,74105,"N","I"
88,83878,340,"N","I"
89,83905,77330,"N","I"
90,83906,77407,"N","I"
91,83946,326,"N","X"
92,83999,83146,"N","X"
93,83999,83151,"N","I"
94,400,74569,"N","I"
95,1274,1564,"Y","I"
96,83417,70766,"N","I"
97,83423,74552,"N","I"
98,83458,68,"Y","X"
99,83487,52653,"N","I"
100,83496,52534,"N","X"
101,83496,52537,"N","I"
102,83508,142,"N","X"
103,83539,55239,"N","I"
104,83573,57024,"N","X"
105,83585,57172,"N","I"
106,83589,57391,"N","X"
107,83607,58336,"N","I"
108,83634,60882,"N","I"
109,83716,67471,"N","I"
110,83736,68642,"N","I"
111,83795,72961,"N","I"
112,83796,73005,"N","X"
113,83798,73137,"N","X"
114,83808,71384,"N","I"
115,83859,74108,"N","X"
116,83883,75913,"N","I"
117,83887,76149,"N","X"
118,83941,79291,"N","X"
119,83944,79542,"N","I"
120,83944,79543,"N","I"
121,83946,79661,"N","I"
122,83947,79661,"N","I"
123,364,76435,"Y","I"
124,1218,84042,"Y","I"
125,1532,83461,"N","I"
126,53924,53929,"N","I"
127,83477,26,"N","X"
129,83506,84354,"N","I"
130,83518,192,"N","X"
131,83535,54821,"N","I"
132,83585,57167,"N","I"
133,83589,57394,"N","I"
134,83641,61336,"N","I"
135,83647,308,"N","X"
136,83747,69187,"N","I"
137,83749,69265,"N","I"
138,83761,69969,"N","I"
139,83801,73272,"N","I"
140,83843,420,"N","I"
141,83895,76657,"N","I"
142,83906,77398,"N","X"
144,83947,326,"N","I"
145,83981,81274,"N","I"
146,490,80578,"Y","I"
147,83465,51722,"N","I"
148,83477,52289,"N","I"
149,83479,53105,"N","I"
150,83480,114,"Y","X"
151,83506,1351,"N","I"
152,83508,53700,"N","I"
153,83523,237,"N","X"
154,83525,1732,"N","I"
155,83535,54838,"N","X"
156,83575,56824,"N","I"
157,83579,279,"Y","X"
158,83739,68987,"Y","X"
159,83744,69161,"N","I"
160,83780,71861,"N","X"
161,83792,317,"N","I"
162,83796,73013,"N","I"
163,83798,73130,"N","I"
164,83901,76863,"N","X"
165,84014,425,"N","I"
166,83423,407,"N","I"
167,83470,51939,"N","I"
168,83470,51971,"N","X"
169,83472,52091,"N","I"
170,83479,116,"N","X"
171,83489,52783,"N","X"
172,83489,52792,"N","I"
173,83518,1537,"N","I"
174,83579,84399,"N","I"
175,83585,57182,"N","X"
176,83587,57351,"N","I"
177,83597,57738,"N","I"
178,83602,58090,"N","I"
179,83625,60358,"N","I"
180,83641,61333,"N","X"
181,83681,62289,"N","I"
182,83722,67517,"N","I"
183,83748,69208,"N","I"
184,83759,69894,"N","I"
185,83766,70077,"N","I"
186,83775,70721,"N","I"
187,83782,323,"N","X"
188,83788,71046,"N","X"
189,83788,71057,"N","I"
190,83801,73275,"N","I"
191,83805,73423,"N","I"
192,83822,71750,"N","X"
193,83843,1273,"N","I"
194,83844,72443,"N","X"
195,83849,74561,"N","I"
196,83882,75812,"N","X"
197,83901,76849,"N","I"
198,83905,1281,"N","I"
199,83905,77344,"N","I"
200,83934,78731,"N","I"
201,490,80588,"N","X"
202,69969,450,"N","I"
203,83400,1749,"N","I"
204,83458,1199,"N","I"
205,83473,52122,"N","I"
206,83480,52348,"N","I"
207,83492,52962,"N","I"
208,83494,53023,"N","I"
209,83498,53232,"N","I"
210,83506,84355,"N","I"
211,83513,53864,"N","I"
212,83539,55241,"N","I"
213,83596,57725,"N","X"
214,83607,58324,"N","X"
215,83609,84414,"N","I"
216,83639,61250,"N","I"
217,83649,61914,"N","I"
218,83730,68233,"N","X"
219,83822,71756,"N","I"
220,83864,68893,"N","I"
221,83905,355,"N","I"
222,83906,77403,"N","I"
223,83914,77712,"N","I"
224,83945,334,"Y","X"
225,83945,1394,"N","I"
226,83981,81270,"N","X"
227,84025,156,"N","X"
228,84025,54260,"N","I"
229,83904,77207,"Y",""
230,153,53924,"Y",""
231,75065,84641,"Y",""
232,83478,52296,"Y",""
233,83590,285,"Y",""
234,83667,65224,"Y",""
235,83758,69827,"Y",""
236,83767,70078,"Y",""
237,83773,70665,"Y",""
238,84033,1439,"Y",""
239,50736,125,"Y",""
240,83512,53818,"Y",""
241,83540,55280,"Y",""
242,60136,60134,"Y",""
243,83450,51063,"Y",""
244,83452,51189,"Y",""
245,83998,82470,"Y",""
246,84118,68,"Y",""
247,84171,1117,"Y",""
248,83707,67156,"Y",""
249,83717,67535,"Y",""
250,83727,68026,"Y",""
251,83731,68254,"Y",""
252,83754,69524,"Y",""
253,83833,72729,"Y",""
254,83846,72509,"Y",""
255,83854,73961,"Y",""
256,83863,74438,"Y",""
257,83911,77607,"Y",""
258,83927,78422,"Y",""
259,83942,79311,"Y",""
260,84009,88,"Y",""
261,83783,431,"Y",""
262,83848,73543,"Y",""
263,52831,105,"Y",""
264,54180,202,"Y",""
265,55496,83543,"Y",""
266,83420,393,"Y",""
267,83468,6,"Y",""
268,83476,37,"Y",""
269,83558,1736,"Y",""
270,84005,320,"Y",""
271,84152,1054,"Y",""
272,83569,56962,"Y",""
273,51931,51932,"Y",""
274,52376,52377,"Y",""
275,58525,58526,"Y",""
276,83486,52822,"Y",""
277,83488,52685,"Y",""
278,83933,459,"Y",""
279,83977,81055,"Y",""
280,84151,358,"Y",""
281,83591,57472,"Y",""
282,83608,58339,"Y",""
283,83613,58901,"Y",""
284,83633,60848,"Y",""
285,83666,65091,"Y",""
286,83690,62977,"Y",""
287,83696,66914,"Y",""
288,83698,66710,"Y",""
289,83715,67432,"Y",""
290,83763,70020,"Y",""
291,83769,70255,"Y",""
292,83770,70383,"Y",""
293,83791,71163,"Y",""
294,83800,73180,"Y",""
295,83815,71610,"Y",""
296,83867,74734,"Y",""
297,83874,75101,"Y",""
298,83921,78164,"Y",""
299,84000,83203,"Y",""
300,84012,70774,"Y",""
301,83885,76035,"Y",""
302,1284,54407,"Y",""
303,51465,71,"Y",""
304,51986,43,"Y",""
305,60870,84453,"Y",""
306,79813,79811,"Y",""
307,83412,236,"Y",""
308,83440,50226,"Y",""
309,83618,59662,"Y",""
310,83620,59844,"Y",""
311,83621,60105,"Y",""
312,83646,61637,"Y",""
313,83699,66653,"Y",""
314,54089,54086,"Y",""
315,54298,54299,"Y",""
316,54329,83527,"Y",""
317,83430,1281,"Y",""
318,83912,1573,"Y",""
319,83929,78584,"Y",""
320,84007,424,"Y",""
321,84008,345,"Y",""
322,84143,54416,"Y",""
323,84023,1010,"Y",""
324,84024,54069,"Y",""
325,83725,67984,"Y",""
326,83752,69404,"Y",""
327,83764,70054,"Y",""
328,83803,73375,"Y",""
329,83847,73531,"Y",""
330,83852,74520,"Y",""
331,83948,79691,"Y",""
332,83950,80222,"Y",""
333,83794,72923,"Y",""
334,83810,71496,"Y",""
335,83838,394,"Y",""
336,83869,75073,"Y",""
337,414,72470,"Y",""
338,69889,69887,"Y",""
339,83454,51364,"Y",""
340,83495,53028,"Y",""
341,83514,53926,"Y",""
342,83683,62565,"Y",""
343,83684,62631,"Y",""
344,83735,447,"Y",""
345,83750,69320,"Y",""
346,83771,433,"Y",""
347,83952,1078,"Y",""
348,1676,1439,"Y",""
349,83490,52798,"Y",""
350,83507,53694,"Y",""
351,57474,57472,"Y",""
352,83411,54375,"Y",""
353,83481,52403,"Y",""
354,83922,78175,"Y",""
355,83928,78429,"Y",""
356,83937,79125,"Y",""
357,83938,79212,"Y",""
358,84145,79612,"Y",""
359,84150,77413,"Y",""
360,83616,59132,"Y",""
361,83619,59662,"Y",""
362,83640,61284,"Y",""
363,83645,61430,"Y",""
364,83784,72360,"Y",""
365,83818,71615,"Y",""
366,83851,74569,"N","I"
367,83860,74195,"Y",""
368,83870,75113,"Y",""
369,83935,463,"Y",""
370,83939,79241,"Y",""
371,83973,80882,"Y",""
372,83790,315,"Y",""
373,83793,319,"Y",""
374,83893,76295,"Y",""
375,1371,237,"Y",""
376,54471,54472,"Y",""
377,56579,56576,"Y",""
378,83439,1350,"Y",""
379,83453,133,"Y",""
380,83545,55580,"Y",""
381,83583,57201,"Y",""
382,83674,63720,"Y",""
383,83678,64045,"Y",""
384,83762,451,"Y",""
385,83552,56173,"Y",""
386,53730,146,"Y",""
387,67594,67593,"Y",""
388,77324,1757,"Y",""
389,81973,81971,"Y",""
390,83396,125,"Y",""
391,83448,51002,"Y",""
392,83919,78062,"Y",""
393,83971,80743,"Y",""
394,84006,422,"Y",""
395,84144,911,"Y",""
396,84149,77413,"Y",""
397,83592,57483,"Y",""
398,83595,57618,"Y",""
399,83622,60105,"Y",""
400,83688,62863,"Y",""
401,83728,68133,"Y",""
402,83737,68709,"Y",""
403,83774,70674,"Y",""
404,83802,73381,"Y",""
405,83831,74030,"Y",""
406,83889,76199,"Y",""
407,83909,77493,"Y",""
408,83924,78506,"Y",""
409,84015,77382,"Y",""
410,83837,393,"Y",""
411,83866,73864,"Y",""
412,36,52121,"Y",""
413,83493,110,"Y",""
414,83538,55117,"Y",""
415,83636,61040,"Y",""
416,83648,61884,"Y",""
417,83672,63613,"Y",""
418,83743,69062,"Y",""
419,83751,69405,"Y",""
420,84119,64,"Y",""
421,1001,51593,"Y",""
422,83568,57041,"Y",""
423,83451,51189,"Y",""
424,83915,77715,"Y",""
425,83588,57353,"Y",""
426,83632,60802,"Y",""
427,83663,64631,"Y",""
428,83726,68011,"Y",""
429,83857,73721,"Y",""
430,83894,76359,"Y",""
431,83931,78607,"Y",""
432,83940,79249,"Y",""
433,83957,80000,"Y",""
434,83958,79967,"Y",""
435,83959,79961,"Y",""
436,83825,73482,"Y",""
437,83872,75070,"Y",""
438,83880,438,"Y",""
439,83903,1208,"Y",""
440,443,68987,"Y",""
441,66229,66227,"Y",""
442,83456,69,"Y",""
443,83459,96,"Y",""
444,83501,53502,"Y",""
445,83528,54514,"Y",""
446,83565,56544,"Y",""
447,83637,61075,"Y",""
448,83677,64259,"Y",""
449,84021,86,"Y",""
450,70011,70012,"Y",""
451,70988,70987,"Y",""
452,77241,83428,"Y",""
453,83446,50528,"Y",""
454,83930,78601,"Y",""
455,83986,82786,"Y",""
456,84011,435,"Y",""
457,83603,58122,"Y",""
458,83665,65086,"Y",""
459,83772,70661,"Y",""
460,83826,72838,"Y",""
461,83871,75088,"Y",""
462,83892,76241,"Y",""
463,83923,78317,"Y",""
464,83982,81289,"Y",""
465,84019,79900,"Y",""
466,19,51728,"Y",""
467,1754,83850,"Y",""
468,53673,1351,"Y",""
469,83471,32,"Y",""
470,83524,1282,"Y",""
471,83544,55510,"Y",""
472,83567,57034,"Y",""
473,83576,56788,"Y",""
474,83631,60786,"Y",""
475,83659,66157,"Y",""
476,83676,63950,"Y",""
477,83721,67501,"Y",""
478,83765,1246,"Y",""
479,83549,55899,"Y",""
480,83562,56519,"Y",""
481,52577,52578,"Y",""
482,54374,1439,"Y",""
483,74748,74750,"Y",""
484,83426,76994,"Y",""
485,83457,51446,"Y",""
486,83464,51707,"Y",""
487,83949,80200,"Y",""
488,83983,510,"Y",""
489,84003,125,"Y",""
490,84148,77413,"Y",""
491,83670,65642,"Y",""
492,83673,63713,"Y",""
493,83807,71378,"Y",""
494,83865,68910,"Y",""
495,83974,80888,"Y",""
496,13,51645,"Y",""
497,79737,332,"Y",""
498,83593,57554,"N",""
499,83650,60581,"N",""
500,83660,64423,"N",""
501,83679,62227,"N",""
502,83682,62385,"N",""
503,83695,66411,"N",""
504,83899,76786,"N",""
505,83987,82815,"N",""
506,84179,1119,"Y",""
507,84183,1102,"Y",""
508,84201,1421,"Y",""
509,1007,1532,"Y",""
510,83994,81857,"Y",""
511,83669,65465,"Y",""
512,1742,83587,"Y",""
513,1139,61,"Y",""
514,83756,69681,"Y",""
516,84272,1134,"Y",""
517,1694,1439,"Y",""
518,1697,51927,"Y",""
519,1715,1439,"Y",""
520,1719,1449,"Y",""
521,1747,83898,"Y",""
522,98034,1296,"Y",""
523,98035,1706,"Y",""
524,99996,1730,"Y",""
525,54418,1145,"Y",""
526,84026,877,"Y",""
527,84216,1110,"Y",""
528,83851,400,"Y","X"
529,83843,1746,"Y","X"
530,57115,84400,"N","X"
531,84271,1098,"Y",""
532,57115,279,"Y","I"
533,280,57209,"N","I"
534,337,911,"N","I"
535,403,83850,"N","I"
536,52276,27,"N","I"
537,70061,910,"N","I"
538,77392,359,"N","I"
539,78678,459,"N","I"
540,60328,60335,"N","I"
541,84354,53685,"N","I"
542,144,1351,"N","I"
543,355,1281,"N","I"
544,1351,144,"N","I"
554,18,51698,"N","I"
555,1054,334,"N","I"
556,1055,911,"N","I"
557,237,877,"N","I"
558,84016,427,"N","I"
578,83441,50235,"N",""
579,51531,1167,"N",""
580,51529,1167,"N",""
581,51469,68,"Y",""
582,51523,96,"Y",""
583,68617,68616,"Y",""
584,71878,321,"Y",""
585,51503,1748,"Y",""
586,68794,465,"Y",""
601,50896,50895,"Y",""
602,54428,246,"Y",""
603,202,1731,"N","I"
